produk_id,nama,price,deskripsi_singkat,shopee_url,image_url,category,source
3cc985653ba2,E GER JAM TANGAN DIGITAL  SHASTA WS-MDW 6510 HITAM,Rp509.000,E GER JAM TANGAN DIGITAL  SHASTA WS-MDW 6510 HITAM,https://shopee.co.id/universal-link/product/818585032/21650993612?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYzZKeUVQQTNta09oUmZpcmE0YktzVGhjOWprNHhHRjE1aHVZSTBKT0VlRGZhUVliVnNQWTZPSjJvSWNrWkhxMC92SE11UndZTWh0Y0dQNUJ4ZWdMalk5bFhYK2cvS2hlbG1OMkdGbVg3TEdKamdoWkFlSGNvSEs3dlphSWhmUG1rPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-822wh-mluem0il12ipbf,fashion,shopee_affiliate_v2
4f4f004a6c14,✨Memberikan hadiah✨Jam Tangan Wanita Anti Air Original Kekinian Import Kecil Mur,Rp70.000,✨Memberikan hadiah✨Jam Tangan Wanita Anti Air Original Kekinian Import Kecil Murah Terbaru 2024 Kece Dan Elegan Original Korea Rantai Dial Persegi Dan Tali Kulit Lembut,https://shopee.co.id/universal-link/product/1192440629/24968438036?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdkhSVXk0VjlOVjVMcVdINzhVdVMrcmtXMXVTdUxIUVhLVVFUM25ZaENPZ21RaFZpTDV4cEVUT1V4RERMbXRBbDZFWmhjQXZhZUUvNEwxZ1hEWUVSaXdUL3BoWVhzTzh6NmozSzNna1VUN1JJSDdzQnd5VHJNZGw2bmwwRzhkR1RNPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasb-m20fwa3f2umo5a,fashion,shopee_affiliate_v2
b40438ff5a28,Exgalacticos | The Strap Squid Game Series 2 Sides Tali Tas Extra Tas Selempang ,Rp20.000,Exgalacticos | The Strap Squid Game Series 2 Sides Tali Tas Extra Tas Selempang Pria Wanita,https://shopee.co.id/universal-link/product/1340891595/24542730221?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdDMzeHgrNGpodlN1Qm04K2xTL0JNOUdBVm56c0o2Rm85cUF0Qmd2WXNHbmZiSXpNYTBUUHovMVpUNWFyWW9qTTdGdHdTcytaT2JaalFpT0NFWTNIUlNLNVBvY1c0d01VcllSUTNGWHE4NE5hZU1WNXJzeDB3NVFwSCsyb3QyM0tBPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rbkb-m7dqo21r0f5wf2,fashion,shopee_affiliate_v2
31685b82bf10,Tas gantungan Steve Madden Ori,Rp100.000,Tas gantungan Steve Madden Ori,https://shopee.co.id/universal-link/product/786969361/29935102155?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZS94TzJJQTVHaDZyQWRiZ21UTk1XbU1lN0wxS0tZS0NsaEhmMTVzeUxQZWtVUXVacDlsV0x1Y3EwdU9WMXc3anVBK2N6R3hVZlV0Mjk0dGtEZU5XeXB2MWVzdWZrNDJ4enhEVnlNWEZrcm5YSDFCN2I2ZmZsRk5nUk5QK2ZtK1dFPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rbke-m92mvuh54p362a,fashion,shopee_affiliate_v2
e2964b780e80,Jesssya Slingbags Wanita Tali Rantai Design Classic Premium Quality - Coffe,Rp414.000,Jesssya Slingbags Wanita Tali Rantai Design Classic Premium Quality - Coffe,https://shopee.co.id/universal-link/product/312620798/2943253462?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEN2VUxrWEZOaDk0d0pqV3V0QjRydEtPNGJxT0cxenN6WGxUY1NUSnRFNUFNanlQZnRSVS83MGM4eUliVk1lY2R5OWhNRktzeG9maVNKYk1xSUR3Vjh0WHIvdm0rZGkyNmZyQXh0dFR2QUFUQ2szUmZuWnc2eVZkMXkwa05qRmhuR1pPY2tLNGR2TU9CNDk3VEtOdE80PQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/e75ef321fbebe212522d5923700d7109,fashion,shopee_affiliate_v2
54a1f58243e4,[ PROMO HARI INI ] ORIGINAL  Jam Tangan Pria FNGEEN S001 Luxury Full Steel Sport,Rp178.000,[ PROMO HARI INI ] ORIGINAL  Jam Tangan Pria FNGEEN S001 Luxury Full Steel Sport Quartz Business Waterproof Casual Watch,https://shopee.co.id/universal-link/product/393299377/15923343835?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZDVRVXJzUG5HZUw3YktCdXlNSWFjTGZmbWJRRzlYeUl6WXNQbWNuWDZEd3Yyekg0cjRGSk1pdmhHSy9FeG5vdHFWaEY3dVJEczNtZ3NyOWYrT2ZBZ2RMT2wxSnRGbFMrbXRPOWM0bkQ3aGE2YUMzQ0hJbHlycUFmWUxBQXhGbVdnPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/cba0f48d55db5197a767e50634acfcbe,fashion,shopee_affiliate_v2
ee33c9323115,GANTUNGAN TAS KUNCI KARAKTER LUCU MONSTER LABUBU,Rp30.000,GANTUNGAN TAS KUNCI KARAKTER LUCU MONSTER LABUBU,https://shopee.co.id/universal-link/product/60500407/25437450805?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEN2VUxrWEZOaDk0d0pqV3V0QjRydlZNTU02Z21XWVNoK3JMaGVoU1pySlpzQ3B1N0RLdmtYOGdlbFUwMDBSQlB0dFB1K241dVRtaVF1UDJxUWZFcWtQMG4rK3YzSFhBR2VFb1I3VmhoM0g1a0djNC8xUUk3L3YyY0dMOU4vYnAxc29mT1BaaURiNmZOM1dPcmhsRk9NPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasa-m2m5e8bwktwy7b,fashion,shopee_affiliate_v2
4ff84f38c0c0,Gantungan kunci gantungan tas gantung custom bahan rotan sintetis (isi 100pcs),Rp80.000,Gantungan kunci gantungan tas gantung custom bahan rotan sintetis (isi 100pcs),https://shopee.co.id/universal-link/product/203620589/51801285061?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZDYzN0ZDK1VhTkZBSExhcmszTVV0bjhBNHNQOGdFMVlGTGJBYzBSekw1L2JQaUdTaG5JWnE2TWgwTFczTld2Uit0RVh5OEhwTkp3Y0pxVUlNdmljclcvRlJKaGh6YVJndHZ3V2plYnVUSmtjbHpNdXljZkdqQ2hXR2dPTGg5a2EwPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-8224p-mh03g53225u41f,fashion,shopee_affiliate_v2
a99df8cd9f6d,Alas kaki Insole Insol Sol Sepatu size 39 Sport Empuk Nyaman Laris,Rp9.000,Alas kaki Insole Insol Sol Sepatu size 39 Sport Empuk Nyaman Laris,https://shopee.co.id/universal-link/product/165539790/7956725360?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEN2VUxrWEZOaDk0d0pqV3V0QjRydnlIZlJwaGZWQThDaThRTm1CcjlhRVJjRVpnU0FXZkVLdHB6aGkrdEkrTzZMNUU0eG5UdUlUaEt1dzdsZkNZWUtKbU9aOEYzOW5Fai9HZk1ZTmlEUVlGRDNpdVFXTkp0L05SL2RnaHhxcW44UlRpUDhXY053dDdSRjI0Q1BlRDFNPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/c6cfbbe94fda2ba585f4770a2496397b,fashion,shopee_affiliate_v2
cb3e9973318a,PENGHILANG NODA PADA SEPATU GRATIS SIKAT DAN LAP,Rp19.900,PENGHILANG NODA PADA SEPATU GRATIS SIKAT DAN LAP,https://shopee.co.id/universal-link/product/146078471/23405434314?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZDNaczJRS3lQcWhlRjBNNUY3aTJQbU9sYXlnYnRTR3pMbS9MZkJlek5NazMzaW5NQ2ZMdVcvTkc3S25tWjN4UTRIdmppOStmME1aTHg0NkQ2TTVraXhGY3FVVjlSdEFiTkZSdDk2SGpoenhsaVVFSEh2Ylh6S0NmZGZiTUh0bGZvPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/sg-11134201-22110-z1yxjy1gewjv60,fashion,shopee_affiliate_v2
